ID;Nazwa;Marka;Model;Kategoria;Opis;Cena;URL_zdjecia
1;Sneakersy EA7 EMPORIO ARMANI;EA7 Emporio Armani ;X8X027 XK050 M701 Triple Black/Gold ;Męskie@Półbuty;Klasyczna propozycja marki EA7 Emporio Armani. Cholewka wyprofilowana z najlepszych surowców: Skóra ekologiczna - Skóra ekologiczna, Materiał - Materiał, Tworzywo - Wysokogatunkowe tworzywo. Posiadają wyściółkę - to materiał. Wkładka to materiał. Materiał podeszwy to wysokogatunkowe tworzywo. Buty na co dzień - ponadczasowe i uniwersalne. ;679,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000206624154_1_.jpg
2;Buty adidas;adidas, adidas Originals ;Superstar EG4958 Ftwwht/Cblack/Ftwwht ;Męskie@Półbuty;Klasyczna propozycja marki adidas. Lekki wygląd zawdzięczają cholewce: Skóra naturalna - Pokryta tworzywem, Licowa. We wnętrzu butów materiał. Wkładka to materiał. Podeszwa to wysokogatunkowe tworzywo. Te buty to miejski styl w dobrym wydaniu. ;279,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000206693594_01_jc.jpg
3;Sneakersy NEW BALANCE;New Balance ;CM997HFV Bordowy ;Męskie@Półbuty;Modna propozycja marki New Balance. W cholewce dominuje Skóra naturalna - Zamsz, Materiał - Materiał. Posiadają wyściółkę - to materiał. Wkładka to materiał. Podeszwa to wysokogatunkowe tworzywo. Buty na co dzień - ponadczasowe i uniwersalne. ;319,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207743878_01_kt.jpg
4;Sneakersy NEW BALANCE;New Balance ;ML565SGN Zielony ;Męskie@Półbuty;Przyciągające uwagę buty marki New Balance. Lekki wygląd zawdzięczają cholewce: Skóra naturalna - Licowa, Zamsz, Materiał - Materiał. Wewnętrzna wyściółka to materiał. Komfort noszenia podnosi wkładka: materiał. Materiał podeszwy to wysokogatunkowe tworzywo. Te buty to miejski styl w dobrym wydaniu. ;249,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000200501352_01_gh.jpg
5;Sneakersy RAGE AGE;Rage Age ;RA-15-02-000073 108 ;Męskie@Półbuty;Przyciągające uwagę buty marki Rage Age. Lekki wygląd zawdzięczają cholewce: Skóra naturalna - Licowa. Posiadają wyściółkę - to materiał, skóra ekologiczna. We wnętrzu butów znajduje się wkładka: skóra ekologiczna. Materiał podeszwy to wysokogatunkowe tworzywo. Te buty to miejski styl w dobrym wydaniu. ;479,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207499874_01_rz.jpg
6;Sneakersy TOMMY HILFIGER;Tommy Hilfiger ;B2285RANSON 8C1 FM0FM03232 Twilight 005 ;Męskie@Półbuty;Modna propozycja marki TOMMY HILFIGER. W cholewce dominuje Skóra naturalna - Zamsz, Materiał - Materiał. We wnętrzu butów materiał. Wkładka to materiał. Podeszwa to wysokogatunkowe tworzywo. Buty na co dzień - ponadczasowe i uniwersalne. ;249,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207171022_01_rz.jpg
7;Sneakersy CALVIN KLEIN;Calvin Klein ;Parker B4F2281 Black ;Męskie@Półbuty;Modna propozycja marki Calvin Klein. Lekki wygląd zawdzięczają cholewce: Materiał - Materiał. We wnętrzu butów materiał. Komfort noszenia podnosi wkładka: skóra ekologiczna. Podeszwa to wysokogatunkowe tworzywo. Te buty to miejski styl w dobrym wydaniu. ;459,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207763906_01_mk.jpg
8;Sneakersy PUMA;Puma ;Vista Mid Wtr 369783 01 Puma Black/Puma White ;Męskie@Półbuty;Modna propozycja marki Puma. W cholewce dominuje Skóra naturalna - Licowa, Zamsz, Materiał - Materiał. Wewnętrzna wyściółka to futerko, ocieplenie. Wkładka to materiał. Materiał podeszwy to wysokogatunkowe tworzywo. W butach zastosowano technologię CMEVA, SoftFoam. Stylowe i przyjemne w noszeniu buty codzienne. ;229,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000201258613_01_pp.jpg
9; Sneakersy NEW BALANCE;New Balance ;ML311CB2 Szary ;Męskie@Półbuty;Klasyczna propozycja marki New Balance. W cholewce dominuje Skóra naturalna - Zamsz, Materiał - Materiał. Posiadają wyściółkę - to materiał. We wnętrzu butów znajduje się wkładka: materiał. Materiał podeszwy to wysokogatunkowe tworzywo. Model wyposażono w technologię EVA. Stylowe i przyjemne w noszeniu buty codzienne. ;189,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207744752_01_rz.jpg
10;Buty NIKE;NIKE ;Air Max 90 Ltr CZ5594 100 White/White/White ;Męskie@Półbuty;Modna propozycja marki NIKE. Cholewka wyprofilowana z najlepszych surowców: Skóra naturalna - Licowa, Materiał - Materiał. Wewnętrzna wyściółka to materiał. Komfort noszenia podnosi wkładka: materiał. Podeszwa to wysokogatunkowe tworzywo. Model wyposażono w technologię Air Max, Max Air, Nike Air. Buty na co dzień - ponadczasowe i uniwersalne. ;479,00 z;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000208060158_01_rz.jpg
11;Sneakersy BIG STAR;Big Star ;EE174159 Navy ;Męskie@Półbuty;Modna propozycja marki BIG STAR. Cholewka wyprofilowana z najlepszych surowców: Skóra ekologiczna - Skóra ekologiczna. We wnętrzu butów materiał. Komfort noszenia podnosi wkładka: materiał. Materiał podeszwy to wysokogatunkowe tworzywo. Stylowe i przyjemne w noszeniu buty codzienne. ;99,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207433632_01_rz.jpg
12;Trekkingi MERRELL;Merrell ;Intercept J73705 Moth Brown ;Męskie@Półbuty;Uniwersalne trekkingi Intercept przeznaczone do codziennego użytku, idealnie sprawdzą się również na mniej wymagających, górskich szlakach. Wykorzystanie technologii Merrell Air Cushion, gwarantuje wygodę oraz wyjątkową amortyzację. Podeszwa zewnętrza Vibram, posiada właściwości antypoślizgowe zapewniając bezpieczeństwo i komfort podczas stawiania kolejnych kroków. ;299,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/8/7/879816_merrell-j73705_br_zowy_gk_1.jpg
13;Trekkingi SALOMON;Salomon ;Xa Collider 411135 38 V0 Red Ochre/Black/Cherry Tomato ;Męskie@Półbuty;W kolekcji marki Salomon na uwagę zasługuje ten model. Wytrzymała cholewka to Skóra ekologiczna - Skóra ekologiczna, Materiał - Materiał. Wkładka to materiał. Podeszwa odpowiednia do mokrych i śliskich powierzchni: wysokogatunkowe tworzywo. W butach zastosowano technologię Contagrip, EnergyCell+, Ortholite. To bezpieczne obuwie terenowe. ;319,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000208142410_01_pa.jpg
14;Sneakersy TOGOSHI;Togoshi ;TG-12-05-000295 609 ;Męskie@Półbuty;Klasyczna propozycja marki Togoshi. Cholewka wyprofilowana z najlepszych surowców: Skóra naturalna - Licowa, Zamsz, Materiał - Materiał. Wewnętrzna wyściółka to materiał. Komfort noszenia podnosi wkładka: materiał. Podeszwa to wysokogatunkowe tworzywo. Model wyposażono w technologię CoolMax. Buty na co dzień - ponadczasowe i uniwersalne. ;419,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207565883_01_ki.jpg
15;Sneakersy TOMMY JEANS;Tommy Jeans ;Midcut Lace Up Vulc EM0EM00485BDS Black BDS ;Męskie@Półbuty;Przyciągające uwagę buty marki Tommy Jeans. Cholewka wyprofilowana z najlepszych surowców: Materiał - Materiał. Wewnętrzna wyściółka to materiał. We wnętrzu butów znajduje się wkładka: materiał. Wygodę zwiększa odpowiednia podeszwa: wysokogatunkowe tworzywo. Te buty to miejski styl w dobrym wydaniu. ;219,00 ;https://www.eobuwie.com.pl/media/catalog/product/cache/image/650x650/0/0/0000207161092_01_ts.jpg
